歌曲名称,歌曲url
需要人陪,https://music.163.com/#/song?id=25643291
好心分手 - (DUET WITH 王力宏),https://music.163.com/#/song?id=27713963
你不知道的事 - (电影《恋爱通告》主题曲),https://music.163.com/#/song?id=25642125
唯一,https://music.163.com/#/song?id=27483167
大城小爱(Live),https://music.163.com/#/song?id=25643093
飘向北方,https://music.163.com/#/song?id=461864856
爱的就是你 - (电视剧《蜜桃女孩》片头曲),https://music.163.com/#/song?id=25643327
另一个天堂,https://music.163.com/#/song?id=5233037
春雨里洗过的太阳,https://music.163.com/#/song?id=25642139
你是我心内的一首歌,https://music.163.com/#/song?id=5239564
心跳,https://music.163.com/#/song?id=25642151
手牵手 - (2003年抗非典公益歌曲),https://music.163.com/#/song?id=5268423
雪人,https://music.163.com/#/song?id=5257150
爱你等于爱自己,https://music.163.com/#/song?id=25643227
美,https://music.163.com/#/song?id=25643275
龙的传人,https://music.163.com/#/song?id=25643359
KISS GOODBYE(Live),https://music.163.com/#/song?id=25642208
不可能错过你,https://music.163.com/#/song?id=25642788
火力全开,https://music.163.com/#/song?id=25642119
花田错(Live),https://music.163.com/#/song?id=25642227
伯牙绝弦 - (电影《恋爱通告》概念主题曲),https://music.163.com/#/song?id=25643268
改变自己(Live),https://music.163.com/#/song?id=25642225
让我取暖,https://music.163.com/#/song?id=5257143
柴米油盐酱醋茶,https://music.163.com/#/song?id=25643271
One Shot,https://music.163.com/#/song?id=25794006
Julia,https://music.163.com/#/song?id=25642769
你不在(Live) - (韩剧《青青草原》片尾曲),https://music.163.com/#/song?id=25642239
盖世英雄,https://music.163.com/#/song?id=25642114
FLOW,https://music.163.com/#/song?id=422463810
你是我心內的一首歌,https://music.163.com/#/song?id=28432280
一首简单的歌(Live),https://music.163.com/#/song?id=25642258
心中的日月(Live),https://music.163.com/#/song?id=25642252
十八般武艺,https://music.163.com/#/song?id=25643284
第一个清晨(Live),https://music.163.com/#/song?id=25642223
FOREVER LOVE(Live),https://music.163.com/#/song?id=25642206
Kiss Goodbye (Live),https://music.163.com/#/song?id=33497018
流泪手心,https://music.163.com/#/song?id=25642800
公转自转,https://music.163.com/#/song?id=25643299
花田錯Remix,https://music.163.com/#/song?id=32711685
和未来有约(原版),https://music.163.com/#/song?id=5273791
Forever Love (Live),https://music.163.com/#/song?id=33497013
比你更好(粤语版),https://music.163.com/#/song?id=28660644
如果你听见我的歌(Live),https://music.163.com/#/song?id=25642244
巴洛克先生,https://music.163.com/#/song?id=25794005
十二生肖 (Live),https://music.163.com/#/song?id=25714320
At the Border - (出塞),https://music.163.com/#/song?id=461518963
不要害怕,https://music.163.com/#/song?id=27591648
安全感,https://music.163.com/#/song?id=27483170
花田错 + 心中的日月 (Live),https://music.163.com/#/song?id=33497035
依然爱你(伴奏),https://music.163.com/#/song?id=27927284
